2014-12-18 13:59:55 root INFO Starting scraper with configuration from "547f8f369bcda406edffe62c" and loglevel "DEBUG"
2014-12-18 13:59:55 root INFO Getting meeting (session) 2903 from https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:00 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:00 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:00 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:01 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:02 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:03 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:04 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
2014-12-18 14:00:05 root CRITICAL HTTP Error 500 while getting https://sessionnet.krz.de/moers/bi/to0040.php?__ksinr=2903
